Age,Weight,Height
0,5.0,60
2 , 12.0, 85.5
3 , 14.2, 94
4 , 15.4, 100.3
5 , 17.9, 107.9
6 , 19.9, 115.5
7 , 22.4, 121.1
8 , 25.8, 128.2
9 , 28.1, 133.3
10 , 31.9, 138.4
11 , 36.9, 144
12 , 41.5, 149.8
13 ,  45.8, 156.7
14 ,  47.6, 158.7
15 ,  52.1, 159.7
16 ,  53.5, 162.5
17 ,  54.4, 162.5
18 ,  56.7, 163
19 ,  57.1, 163
20 ,  58.0, 163.3
